word,list
atmosphere,1
hydrosphere,1
lithosphere,1
oxygen,1
oxide,1
carbon dioxide,1
hydrogen,1
core,1
crust,1
mantle,1
longitude,1
latitude,1
altitude,1
horizon,1
disaster,1
mishap,1
catastrophic,1
calamity,1
endanger,1
jeopardise,1
destructive,1
el nino,1
greenhouse,1
phenomenon,1
pebble,1
magnet,1
ore,1
mineral,1
marble,1
quartz,1
granite,1
breeze,1
gust,1
gale,1
hurricane,1
tornado,1
typhoon,1
monsoon,1
volcano,1
erupt,1
magma,1
thermodyna,1
smog,1
fume,1
mist,1
tsunami,1
flooding,1
torrent,1
drought,1
earthquake,1
seismic,1
avalanche,1
terrain,1
landscape,1
continent,1
cave,1
cliff,1
glacier,1
swamp,1
delta,1
plain,2
plateau,2
oasis,2
globe,2
hemisphere,2
equator,2
equal,2
arctic,2
antarctic,2
pole,2
polar,2
axis,2
deteriorate,2
aggravate,2
degrade,2
upgrade,2
erode,2
mediterranean,2
atlantic,2
ocean,2
pacific,2
marine,2
navigation,2
gulf,2
beach,2
coast,2
shore,2
tide,2
current,2
brook,2
stream,2
sou rce,2
shallow,2
superficial,2
flat,2
adjn  smooth,2
rough,2
sandy,2
stony,2
vertical,2
steep,2
parallel,2
narrow,2
oceania,2
mainland,2
peninsula,2
climate,2
weather,2
meteorology,2
mild,2
heating,2
moderate,2
warm,2
adjv  thermal,2
tropics,2
adjn  arid,2
moist,2
damp,2
humid,2
snowy,2
frost,3
hail,3
thaw,3
chill,3
freeze,3
frigid,3
tremble,3
shiver,3
thunder,3
lightning,3
stormy,3
downpour,3
rainfall,3
sprinkle,3
rainbow,3
shower,3
celsius,3
temperature,3
forecast,3
peak,3
mount,3
mountain,3
range,3
ridge,3
slope,3
valley,3
hil lside,3
overlook,3
southern,3
southeast,3
southwest,3
northeast,3
northwest,3
eastern,3
oriental,3
inevitable,3
irreversible,3
irregularly,3
inappropriate,3
abnormal,3
sediment,3
silt,3
muddy,3
clay,3
dirt,3
rural,3
suburb,3
outskirts,3
remote,3
desolate,3
distant,3
adjacent,3
toxic,3
pollution,3
pollutant,3
contaminate,3
geology,3
border,3
margin,3
fringe,3
plate,4
debris,4
crack,4
gap,4
splendid,4
grand,4
magnificent,4
super,4
interesting,4
dramatic,4
wilderness,4
desert,4
deforest,4
barren,4
fertile,4
fertilise,4
solar,4
lunar,4
calendar,4
sunrise,4
sunset,4
eclipse,4
dusk,4
heaven,4
paradise,4
sunshine,4
shade,4
nvshadow,4
vapour,4
evaporate,4
circulate,4
precipitate,4
reservoir,4
waterfall,4
fountain,4
spring,4
dew,4
pour,4
drain,4
vndrip,4
drown,4
blow,4
puff,4
gush,4
dense,4
intensity,4
intensive,4
emerge,4
flash,4
float,4
environment,4
surrounding,4
condition,4
situation,4
nature,4
natural,4
artificial,4
synthetic,4
petrol,4
gas,4
photosynthesis,5
respire,5
dioxide,5
vegetation,5
herb,5
perennial,5
botany,5
ecology,5
ecosystem,5
eco-friendly,5
horticulture,5
organism,5
genetics,5
mutation,5
variation,5
hybridisation,5
diversity,5
classify,5
reproduce,5
evolve,5
fluctuate,5
cultivate,5
reclaim,5
sow,5
harvest,5
pluck,5
pick,5
yield,5
rear,5
arable,5
plough,5
spade,5
rake,5
stack,5
heap,5
bundle,5
bunch,5
vase,5
sunlight,5
short-day,5
shade-tolerant,5
fungus,5
mould,5
pollen,5
germinate,5
seed,5
burgeon,5
bud,5
flower,5
blossom,5
bloom,5
scent,5
aromatic,5
ripen,5
fruit,5
wither,5
decompose,5
rot,5
decay,5
stale,5
rainforest,6
jungle,6
plantation,6
field,6
terrace,6
timber,6
charcoal,6
log,6
logo,6
forestry,6
branch,6
trunk,6
bough,6
root,6
hay,6
straw,6
reed,6
thorn,6
weed,6
grass,6
meadow,6
lawn,6
olive,6
pine,6
vine,6
violet,6
tulip,6
mint,6
nvreef,6
alga,6
enzyme,6
catalyst,6
release,6
nvemission,6
absorb,6
circulation,6
exceed,6
uptake,6
nutrient,6
energy,6
surroundings,6
counterbalance,6
mechanism,6
preserve,6
conservation,6
bush fire,6
extinguish,6
destruct,6
rui,6
perish,6
demolish,6
infringe,6
undermine,6
extinction,6
pattern,6
outcome,6
impact,6
seasonal,6
experimental,6
favourable,6
productive,7
efficient,7
effective,7
considerable,7
massive,7
immense,7
maximal,7
minimal,7
optimal,7
biologist,7
zoologist,7
ecologist,7
botanist,7
mammal,7
primate,7
vertebrate,7
reptile,7
amphibian,7
carnivore,7
herbivore,7
creature,7
wildlife,7
fauna,7
flora,7
species,7
flock,7
herd,7
swarm,7
throng,7
crowd,7
beast,7
brute,7
cruel,7
originate,7
derive,7
stem,7
ancestor,7
descendant,7
offspring,7
subgroup,7
feed,7
breed,7
vninterbreed,7
hybridize,7
proliferate,7
sterility,7
mate,7
courtship,7
lay,7
hatchv,7
vbrood,7
nvspawn,7
nvmature,7
skin,7
claw,7
paw,7
beak,7
fi,7
wing,7
plume,7
feather,8
fur,8
bristle,8
curl,8
nvinsect,8
worm,8
pest,8
parasite,8
spider,8
butterfly,8
mosquito,8
cricket,8
penguin,8
seal,8
nvtortoise,8
turtle,8
whale,8
kangaroo,8
camel,8
panda,8
elephant,8
trunk,8
ivory,8
horn,8
bear,8
wolf,8
dragon,8
fox,8
cub,8
calf,8
pup,8
lamb,8
cattle,8
ox,8
bull,8
buffalo,8
horse,8
zebra,8
donkey,8
saddle,8
harness,8
falcon,8
hawk,8
eagle,8
owl,8
swallow,8
pigeon,8
sparrow,8
crow,8
swan,8
goose,8
cock,8
mouse,8
rat,8
squirrel,8
hare,8
frog,8
behaviour,8
bite,8
sting,8
bark,9
roar,9
rub,9
creep,9
crawl,9
habitat,9
nest,9
hive,9
cell,9
cage,9
stable,9
barn,9
hedge,9
barrier,9
bar,9
anatomy,9
epidemic,9
germ,9
bacteria,9
virus,9
microbe,9
metabolism,9
secrete,9
excrete,9
devour,9
instinct,9
intuitive,9
intuition,9
potentialn,9
intelligence,9
functional,9
sensitive,9
flexible,9
acoustic,9
optical,9
nocturnal,9
dormant,9
hibernation,9
track,9
trace,9
alternate,9
prey,9
predator,9
